Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Type of product,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",24,Angola,2016,8725115,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,PET,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",24,Angola,2016,24734589,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,CRO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",24,Angola,2016,9014628,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,FOF,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",24,Angola,2016,82638593,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NMM,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,219,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NMA,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,219489,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NMM,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,41289,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,CRO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,4042,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,FEO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,292246.69472,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,ALP,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,5111,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,WCH,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,68645,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,BIM,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,968,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,CPR,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,6197,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,WOD,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,219270,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NMC,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,71,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NFO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,15080,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,GBO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",28,Antigua and Barbuda,2016,4113,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,MEO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,1625320,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,MEO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,1014976,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,FEO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,976736,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,PET,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,9452780,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,FOF,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,8645122,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,CRO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,49305886,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NMC,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,1153221,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,WOD,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,211902,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NMA,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,610344,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NFO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,10697732,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,GBO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,49517788,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NMM,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,20414,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,WCH,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,8476044,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,GAS,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,86138885.69885,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,ALP,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",31,Azerbaijan,2016,5026510,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,CPR,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
